city,date,fare,ride_id
South Evanton,2019-01-20 23:10:11,25.94,3.43171E+12
North Jasmine,2019-04-26 12:08:00,35.33,6.85733E+12
Hurleymouth,2019-01-12 01:19:37,10.64,8.1256E+12
West Robert,2019-03-07 15:57:52,12.22,2.7056E+12
Deanville,2019-04-21 23:32:00,33.37,7.76308E+12
South Michelleport,2019-01-09 01:48:18,10.68,3.23691E+12
Royland,2019-02-02 12:51:14,42.52,7.83542E+12
Rodneyfort,2019-04-10 23:38:24,25.4,9.06037E+12
North Madeline,2019-01-12 09:42:16,20.82,8.11479E+12
Lake Danielberg,2019-04-28 04:00:40,39.82,7.8891E+12
Port Johnbury,2019-05-02 12:46:00,42.42,3.24538E+12
Richardfort,2019-04-21 03:44:04,9.54,3.69815E+12
Liumouth,2019-03-22 04:06:56,33.1,3.67856E+12
Roberthaven,2019-01-21 19:25:49,23.14,4.93914E+12
Amandaburgh,2019-01-21 04:12:54,9.26,5.52843E+12
South Evanton,2019-04-25 00:37:43,26.84,1.53924E+12
Port Samanthamouth,2019-03-25 13:20:36,34.94,8.21747E+11
South Michelleport,2019-03-13 04:21:16,10.44,5.68486E+12
North Madeline,2019-01-14 03:43:39,31.88,8.713E+12
Hurleymouth,2019-03-17 06:50:12,29.95,5.22518E+12
Port David,2019-04-10 14:27:37,26.68,5.36139E+12
Pattyland,2019-02-10 02:55:45,24.39,7.26485E+12
Liumouth,2019-03-17 19:21:42,19.05,9.11827E+12
Robertport,2019-04-03 01:20:38,15.14,6.66972E+12
Hurleymouth,2019-04-01 06:26:40,9.94,4.06343E+12
West Samuelburgh,2019-04-17 11:25:21,15.03,4.02153E+12
South Phillip,2019-03-18 04:11:03,17.57,8.431E+12
West Josephberg,2019-01-29 02:13:40,7.58,6.14297E+12
Roberthaven,2019-02-16 10:23:48,14.95,6.65368E+12
West Christopherberg,2019-03-27 23:57:27,21.55,2.20181E+12
Christopherfurt,2019-03-30 13:15:56,31.3,7.45713E+12
Hurleymouth,2019-02-01 03:23:46,22.39,6.07173E+12
Port Frank,2019-03-16 20:54:05,30.24,1.45421E+12
Lake Danielberg,2019-01-16 11:59:09,20.07,8.44861E+12
West Ericstad,2019-03-28 13:29:17,22.28,3.13527E+12
Karenside,2019-03-11 16:18:17,44.29,3.26916E+12
South Evanton,2019-03-17 00:31:07,36.31,2.78352E+12
West Heidi,2019-05-05 15:47:32,37.75,3.64677E+12
Robertport,2019-02-28 22:50:15,13.39,6.81044E+11
South Jack,2019-01-05 11:31:02,13.14,6.80975E+12
West Josephberg,2019-02-28 18:19:01,11.1,3.52953E+12
Port Frank,2019-03-26 19:09:42,28.83,8.89805E+11
Barajasview,2019-02-19 02:25:34,26.83,9.37248E+11
Justinberg,2019-01-03 22:50:12,5.81,9.26116E+12
North Barbara,2019-04-17 02:49:28,39.18,3.50329E+12
West Angela,2019-03-08 13:24:07,4.92,5.44515E+12
South Latoya,2019-03-19 07:54:20,30.03,9.56033E+12
Hurleymouth,2019-01-18 10:59:29,4.66,8.62288E+12
Johnton,2019-04-05 07:12:55,22.87,1.03062E+12
Carriemouth,2019-03-27 02:11:44,38.69,4.40712E+12
Reynoldsfurt,2019-04-19 00:56:32,13.63,7.99008E+12
Christopherfurt,2019-03-16 19:46:26,19.61,2.29037E+12
Liumouth,2019-04-28 00:26:35,5.42,8.02692E+12
New Kimberlyborough,2019-03-19 07:17:50,15.78,6.41496E+12
Martinezhaven,2019-03-07 12:26:18,23.55,7.38533E+12
East Kaylahaven,2019-04-06 16:17:11,35.79,8.9306E+12
Simpsonburgh,2019-04-26 09:31:22,33.71,2.59748E+12
Lake Jonathanshire,2019-01-28 00:07:00,5.67,9.75657E+12
Robertport,2019-04-19 19:45:44,39.57,3.97034E+12
South Karenland,2019-03-20 10:34:54,33.24,3.09727E+12
Raymondhaven,2019-03-07 20:59:06,17.66,9.25756E+12
Port David,2019-02-18 14:47:10,20.16,1.84743E+12
Royland,2019-02-20 19:14:49,38.28,3.61665E+12
East Kaylahaven,2019-01-29 07:28:20,41.62,7.15722E+12
Valentineton,2019-02-23 11:46:09,19.99,9.65841E+12
Martinezhaven,2019-03-12 10:02:28,21.18,4.04681E+12
South Phillip,2019-02-19 20:47:52,28.62,4.40803E+12
Royland,2019-05-04 02:54:31,15.14,4.98829E+12
West Heidi,2019-02-05 19:24:40,24.32,4.26277E+11
East Kaylahaven,2019-02-28 16:46:23,33.72,1.22492E+12
New Kimberlyborough,2019-04-03 16:27:42,14.73,9.08311E+12
South Karenland,2019-01-10 23:48:39,37.58,7.16597E+12
Richardfort,2019-02-03 00:14:26,29.04,4.98267E+12
Justinberg,2019-03-10 05:15:34,22.43,5.55274E+12
Huntermouth,2019-03-21 08:44:32,32.42,3.39325E+12
Roberthaven,2019-03-22 04:19:27,34.69,1.77299E+12
West Heidi,2019-03-11 16:10:27,43.45,4.65488E+12
Raymondhaven,2019-02-17 02:06:40,39.7,3.25174E+12
Karenside,2019-04-16 23:13:24,39.32,3.15594E+12
Rogerston,2019-03-16 20:49:51,43.82,4.71896E+12
Port Johnbury,2019-04-28 16:29:16,36.42,2.73966E+11
West Josephberg,2019-01-18 12:47:59,43.85,9.65466E+12
North Jasmine,2019-02-05 22:28:38,19.21,6.78509E+12
Loganberg,2019-04-10 04:59:53,35.97,8.82801E+12
Barajasview,2019-04-15 20:37:17,17.76,8.09825E+12
New Paulton,2019-04-17 20:05:26,44.43,3.38361E+11
West Angela,2019-01-19 00:36:52,40.4,7.40626E+11
North Jasmine,2019-02-18 03:09:59,31.49,9.75908E+12
North Barbara,2019-02-11 18:51:20,43.26,8.9735E+12
Rogerston,2019-03-02 00:54:29,25.14,1.72262E+12
Williamsstad,2019-02-21 10:56:41,4.9,7.17645E+12
South Jack,2019-01-14 17:06:37,40.65,5.44057E+12
West Anthony,2019-04-15 11:02:50,43.82,4.3815E+12
Royland,2019-02-12 01:18:02,44.33,5.32459E+12
West Angela,2019-04-03 14:44:18,23.52,4.84305E+12
Liumouth,2019-02-22 03:55:59,6.39,8.11653E+12
Amandaburgh,2019-04-19 16:30:12,6.27,4.40063E+12
West Ericstad,2019-01-23 10:13:17,10.12,8.03585E+12
South Jack,2019-01-15 05:51:27,5.58,1.7939E+12
Barajasview,2019-05-02 21:02:33,17.12,4.62892E+12
Amandaburgh,2019-03-20 07:40:33,27.45,3.70101E+12
East Kaylahaven,2019-03-17 23:54:01,8.62,1.95343E+12
Port Samanthamouth,2019-01-27 00:57:25,28.46,8.8265E+11
New Paulville,2019-01-25 15:19:45,15.04,7.52944E+12
West Anthony,2019-04-03 02:42:50,10.56,3.76287E+12
Raymondhaven,2019-01-06 20:15:24,21.19,9.47362E+12
Rogerston,2019-01-03 21:45:19,36.28,7.09035E+12
Port David,2019-04-02 16:53:49,41.14,2.69444E+12
North Markport,2019-02-08 22:01:28,34.69,2.74219E+12
West Angela,2019-03-04 17:50:37,20.72,1.78473E+12
South Michelleport,2019-04-21 18:31:07,21.98,5.89381E+12
Port Frank,2019-02-10 08:14:32,40.82,6.38624E+12
Rogerston,2019-02-14 05:24:26,19.42,8.77069E+12
Joneschester,2019-04-02 04:52:55,10.52,4.97037E+12
South Karenland,2019-03-17 01:22:44,23.26,5.56551E+11
West Angela,2019-05-05 14:17:49,23.66,9.18827E+12
Royland,2019-02-10 13:50:42,11.24,4.94954E+12
Christopherfurt,2019-01-30 22:09:42,6.32,4.28978E+12
Barajasview,2019-04-09 08:10:39,39.36,1.80161E+12
Christopherfurt,2019-02-08 11:46:15,25.76,9.51781E+11
Leahton,2019-01-13 00:03:43,9.37,4.66966E+12
Port Angela,2019-04-15 23:02:22,20.16,6.49009E+12
Loganberg,2019-01-13 23:53:09,41.86,7.04561E+12
West Heidi,2019-02-24 04:41:39,40.8,4.27425E+12
Robertport,2019-02-24 22:01:38,8.48,2.89277E+12
Karenside,2019-03-14 17:07:27,16.31,8.81835E+12
West Christopherberg,2019-03-20 03:04:47,42.83,6.89841E+12
West Gabriel,2019-01-15 14:51:33,13.38,7.56092E+12
Simpsonburgh,2019-04-01 04:02:50,25.65,2.86964E+12
West Robert,2019-05-04 04:36:23,5.36,9.79948E+12
Loganberg,2019-02-17 07:58:51,44.47,3.54107E+12
West Anthony,2019-04-20 20:13:28,11.85,4.27467E+12
Jerryton,2019-05-01 17:20:29,4.97,8.0964E+12
North Jasmine,2019-03-04 16:59:24,42.58,8.86458E+12
North Madeline,2019-01-26 02:37:54,5.59,3.67644E+12
Royland,2019-03-25 18:17:04,7.09,5.6603E+12
New Paulton,2019-01-21 17:04:11,18.3,3.72117E+12
Richardfort,2019-02-08 15:50:12,16.55,2.27046E+12
Barajasview,2019-02-03 09:58:39,39.39,9.438E+12
Pattyland,2019-04-18 23:27:09,28.66,2.3424E+12
West Christopherberg,2019-02-17 03:30:47,4.4,4.35311E+12
Grahamburgh,2019-02-25 12:18:38,14.51,6.15711E+12
New Kimberlyborough,2019-04-11 10:38:15,12.01,1.35529E+11
North Madeline,2019-05-02 23:25:49,11.94,7.52666E+12
Simpsonburgh,2019-04-12 19:38:44,22.45,7.81139E+12
Martinezhaven,2019-02-16 17:25:31,15.33,9.81061E+12
West Heidi,2019-03-30 02:27:21,11.15,2.26487E+12
Christopherfurt,2019-04-12 14:37:13,22.91,5.92812E+12
Karenside,2019-04-28 02:38:11,39.41,4.71119E+12
Rogerston,2019-04-01 09:27:03,28.54,9.9631E+12
West Samuelburgh,2019-02-19 11:01:35,17.77,7.60898E+12
Joneschester,2019-03-17 22:39:55,15.35,2.30717E+12
West Heidi,2019-02-27 11:19:43,35.19,6.99827E+12
West Heidi,2019-03-02 09:13:23,23.55,6.47807E+12
Roberthaven,2019-03-30 15:12:10,16.2,2.94949E+12
Karenberg,2019-04-07 16:28:35,16.11,4.80609E+12
Port Angela,2019-03-08 16:32:28,23.06,2.75074E+12
Hurleymouth,2019-02-07 06:07:37,36.7,1.74818E+11
Simpsonburgh,2019-03-31 11:49:06,24.16,9.70976E+12
South Jack,2019-03-14 17:18:02,18.66,3.5116E+12
New Jacobville,2019-03-10 01:02:12,10.63,6.50454E+11
Williamsstad,2019-04-16 16:21:54,32.43,7.17782E+12
Port Johnbury,2019-03-27 08:26:32,38.99,4.11568E+12
North Jasmine,2019-02-17 00:27:47,35.11,6.62098E+12
South Jack,2019-01-03 23:11:22,4.95,9.0056E+12
Pattyland,2019-04-23 02:57:08,13.01,9.34529E+12
Raymondhaven,2019-02-16 04:31:29,24.31,8.96062E+12
Joneschester,2019-04-24 13:07:44,9.78,9.67059E+11
North Jason,2019-02-19 04:45:59,15.87,7.79183E+12
Williamsstad,2019-02-22 04:25:41,20.56,5.81376E+12
West Christopherberg,2019-02-19 19:49:30,40.98,7.52484E+11
South Karenland,2019-03-19 14:50:21,23.07,5.75934E+12
Rodneyfort,2019-03-07 23:37:32,7.78,2.85963E+12
Lake Scottton,2019-02-05 11:47:56,24.54,3.77026E+12
Royland,2019-01-26 21:29:46,14.68,1.74729E+12
Martinezhaven,2019-01-21 01:50:28,42.75,9.05609E+12
West Patrickchester,2019-03-17 04:51:53,17.38,3.06649E+12
Raymondhaven,2019-03-31 17:01:37,36.29,8.95924E+12
West Robert,2019-03-06 06:10:01,22.86,2.31892E+12
South Evanton,2019-02-25 18:39:11,15.06,8.87333E+12
West Christopherberg,2019-03-07 20:09:48,32.27,2.176E+12
West Josephberg,2019-04-19 01:55:51,42.53,6.11437E+12
Liumouth,2019-03-06 07:44:32,23.53,2.43017E+12
West Christopherberg,2019-02-10 19:41:43,8.42,8.36259E+11
Hurleymouth,2019-02-23 13:48:18,18.15,6.05143E+12
Port Angela,2019-02-26 10:01:46,28.52,6.78357E+12
West Samuelburgh,2019-01-31 09:17:15,14.11,6.0384E+12
North Barbara,2019-04-06 09:03:01,26.64,9.29433E+11
Rodneyfort,2019-04-29 00:20:22,44.28,6.97926E+12
North Jason,2019-04-05 02:05:55,31.89,9.98847E+12
Port David,2019-02-11 23:07:39,10.05,6.92195E+12
Raymondhaven,2019-01-27 15:52:21,41.76,7.32594E+12
Barajasview,2019-03-12 04:54:10,37.05,1.82923E+12
Liumouth,2019-01-17 16:17:18,33.29,3.42432E+12
North Barbara,2019-03-24 06:49:11,4.05,5.34406E+12
Valentineton,2019-04-03 11:34:45,18.62,5.5506E+11
West Samuelburgh,2019-04-17 19:01:44,10.58,2.0719E+12
Carriemouth,2019-01-15 06:27:59,24.13,7.41768E+12
Carriemouth,2019-05-08 04:20:00,21.99,1.17998E+11
Erikaland,2019-02-21 20:28:30,12.44,2.70509E+12
Grahamburgh,2019-01-18 07:41:16,23.35,8.08454E+12
East Kaylahaven,2019-01-29 13:01:07,9.81,2.05842E+12
Carriemouth,2019-02-04 00:29:52,24.87,6.0156E+12
Justinberg,2019-04-14 14:48:43,24.34,1.49282E+12
Pattyland,2019-01-01 17:22:58,42.11,9.61495E+12
Royland,2019-04-09 00:32:12,22.89,5.15786E+12
Huntermouth,2019-03-14 10:37:58,30.49,9.53756E+12
Huntermouth,2019-01-17 12:10:59,41.48,7.8023E+12
Huntermouth,2019-02-03 12:19:32,31.43,4.78286E+12
South Evanton,2019-02-21 08:05:48,34.21,5.09396E+12
West Robert,2019-04-12 08:17:16,32.48,7.54437E+12
Raymondhaven,2019-03-02 04:56:41,5.19,4.17505E+12
Port Frank,2019-04-02 15:48:32,13.55,4.84971E+12
West Heidi,2019-03-18 04:53:20,4.29,4.31502E+12
Amandaburgh,2019-04-01 09:24:21,24.29,1.99546E+12
Liumouth,2019-02-27 18:08:19,43.31,1.51093E+12
Barajasview,2019-03-15 22:44:08,28.3,1.31427E+12
New Kimberlyborough,2019-03-19 15:25:24,27.37,5.33038E+11
West Samuelburgh,2019-01-06 08:34:21,43.05,9.81077E+12
Lake Scottton,2019-01-28 02:32:37,23.95,9.4834E+12
North Jason,2019-01-14 20:53:44,26.58,8.64239E+12
East Kaylahaven,2019-03-23 10:48:34,4.64,1.90804E+12
Johnton,2019-03-15 08:40:23,43.5,7.1342E+12
Roberthaven,2019-02-22 19:42:54,27.48,9.42E+12
Robertport,2019-01-25 01:33:06,44.75,6.71134E+12
Joneschester,2019-02-16 02:35:16,9.48,4.15529E+12
Johnton,2019-05-02 02:19:02,32.38,8.95482E+12
West Anthony,2019-02-19 22:53:02,27.9,4.26752E+12
Martinezhaven,2019-03-11 20:07:13,7.01,7.63675E+12
Port Johnbury,2019-03-30 17:59:22,15.17,4.90059E+12
Williamsview,2019-04-07 02:32:23,19.19,8.04777E+12
West Robert,2019-02-23 19:46:33,33.24,3.05503E+12
Barajasview,2019-03-19 12:17:33,26.6,5.62306E+12
Williamsstad,2019-05-06 12:39:09,40.79,8.72087E+12
Justinberg,2019-01-22 09:08:49,38.3,1.28783E+12
Justinberg,2019-04-16 01:26:39,16.58,1.47644E+12
Carriemouth,2019-02-17 05:01:00,22.66,3.71794E+12
South Evanton,2019-04-10 05:38:29,30.36,5.2549E+12
Simpsonburgh,2019-02-14 22:52:40,30,7.64462E+12
New Kimberlyborough,2019-01-07 05:12:12,15.22,7.02007E+12
Richardfort,2019-04-03 15:07:34,40.77,9.49621E+12
Williamsview,2019-01-05 00:44:39,21.59,6.18022E+12
Carriemouth,2019-01-04 15:56:18,31.99,4.87254E+12
West Christopherberg,2019-04-06 13:59:18,25.31,3.27595E+12
New Jacobville,2019-04-10 04:16:04,42.92,4.02102E+12
Karenberg,2019-04-23 21:11:11,26.92,9.6851E+12
Johnton,2019-02-28 05:42:04,12.02,6.6703E+12
Amandaburgh,2019-04-20 02:16:07,16.27,3.51312E+12
Port Frank,2019-04-25 23:04:28,19.43,7.79216E+12
Martinezhaven,2019-02-03 06:15:55,11.61,3.41665E+12
Joneschester,2019-03-09 03:25:16,39.32,1.55316E+12
West Robert,2019-04-07 06:17:04,40.69,5.02551E+11
West Heidi,2019-02-06 00:47:29,40.55,6.25794E+12
Lake Jonathanshire,2019-01-24 12:24:22,34.65,3.31912E+12
Johnton,2019-01-22 13:10:36,24.17,7.41336E+12
South Karenland,2019-01-31 15:50:00,36.28,9.21999E+12
Liumouth,2019-01-05 19:32:37,27.02,3.77362E+12
Port Angela,2019-02-08 00:14:45,15.58,7.38873E+12
Johnton,2019-02-26 09:36:01,18.76,6.36082E+12
Pattyland,2019-02-05 00:47:59,28.81,1.15407E+11
Deanville,2019-04-26 04:05:05,28.44,3.32616E+12
West Anthony,2019-03-03 00:24:33,20.71,7.55033E+12
South Phillip,2019-02-28 14:54:06,42.2,9.81356E+12
North Jason,2019-01-05 10:59:55,16.22,3.84242E+12
Loganberg,2019-01-31 23:29:52,13.69,4.06601E+12
Port Frank,2019-01-27 13:40:02,38.97,5.9444E+12
South Evanton,2019-03-06 23:01:03,44.41,2.7603E+12
West Angela,2019-01-22 02:28:03,32.18,4.24482E+12
Rodneyfort,2019-04-12 23:29:11,27.81,5.6694E+12
Carriemouth,2019-04-28 09:25:03,37.35,4.81235E+12
Hurleymouth,2019-02-28 03:20:15,44.85,5.10428E+12
Lake Danielberg,2019-03-20 05:37:35,33.9,25082058503
Lake Jonathanshire,2019-03-24 16:27:49,14.94,1.67091E+12
Williamsview,2019-05-04 14:56:45,32.8,2.67773E+12
West Josephberg,2019-02-19 20:48:16,4.07,1.34803E+12
Christopherfurt,2019-04-06 22:33:03,27.46,7.39994E+12
South Phillip,2019-02-01 12:52:11,39.27,5.30799E+12
New Paulville,2019-02-18 23:43:21,38.97,1.73392E+12
Grahamburgh,2019-03-24 13:39:38,32.17,2.40024E+12
Port Johnbury,2019-02-08 10:29:22,7.63,3.49757E+12
Port David,2019-03-04 00:41:43,23.7,6.4922E+12
West Ericstad,2019-04-13 09:52:43,22.39,5.77076E+12
Karenside,2019-05-03 15:31:44,32.68,9.19416E+12
Valentineton,2019-02-25 02:33:57,10.21,4.59589E+12
Martinezhaven,2019-03-21 07:56:22,39.26,9.86764E+12
Huntermouth,2019-03-21 13:31:31,27.96,3.03092E+12
Rogerston,2019-03-18 12:47:22,8.58,4.17898E+12
West Angela,2019-03-07 10:38:26,14.8,5.02247E+12
Rodneyfort,2019-03-15 10:18:45,30.83,4.17505E+12
North Jasmine,2019-04-24 08:49:13,28.24,8.27389E+12
Raymondhaven,2019-01-25 06:48:15,14.65,3.91246E+12
Richardfort,2019-02-19 14:09:20,27.11,8.69032E+12
West Josephberg,2019-03-16 07:06:47,10.04,6.77577E+12
Erikaland,2019-05-07 11:23:59,22.72,5.59043E+12
Royland,2019-01-15 08:50:46,4.1,9.40923E+12
Roberthaven,2019-03-27 07:24:26,11.51,9.18506E+12
Justinberg,2019-04-16 05:05:36,27.1,1.85455E+12
East Kaylahaven,2019-01-04 23:57:27,24.37,5.7352E+12
North Jason,2019-02-22 07:07:53,18.67,1.90295E+11
Karenside,2019-02-12 20:45:11,25.58,6.56902E+12
Raymondhaven,2019-02-28 16:10:35,11.26,3.12271E+12
Amandaburgh,2019-03-13 12:52:31,13.88,6.22213E+12
Amandaburgh,2019-04-22 21:34:17,42.52,1.90116E+12
New Jacobville,2019-04-27 14:11:38,37.6,8.7809E+12
West Ericstad,2019-04-19 20:35:20,5.75,3.49713E+12
Christopherfurt,2019-01-04 04:30:04,15.47,1.47116E+12
Port David,2019-03-27 00:20:58,18.43,4.63559E+12
Martinezhaven,2019-02-15 02:18:44,15.93,9.62458E+12
West Robert,2019-02-27 04:29:37,22.81,5.71431E+12
South Michelleport,2019-03-08 04:18:36,27.42,3.75424E+12
Robertport,2019-05-03 02:36:46,31.62,4.85226E+12
West Anthony,2019-02-04 15:04:43,20.09,4.22152E+12
West Angela,2019-03-20 23:44:20,23.83,8.75081E+12
South Michelleport,2019-05-07 12:25:01,4.47,2.89109E+11
New Paulville,2019-05-01 13:29:10,10.3,1.05757E+12
Justinberg,2019-02-19 04:01:49,36.27,7.28644E+12
Leahton,2019-01-08 11:48:08,39.81,4.57902E+11
Justinberg,2019-02-01 21:16:13,31.07,2.73965E+12
South Latoya,2019-02-12 16:31:30,28.92,5.77983E+12
Williamsview,2019-02-08 06:11:38,25.3,2.3246E+12
Joneschester,2019-01-15 21:21:00,13.43,2.23586E+12
Williamsstad,2019-01-06 20:14:54,43.5,2.04785E+12
South Karenland,2019-01-25 08:14:54,31.02,5.00482E+11
Carriemouth,2019-04-01 00:35:10,27.84,6.58983E+12
Valentineton,2019-01-01 14:42:25,12.31,4.75704E+12
Christopherfurt,2019-03-12 09:22:48,35.57,8.28613E+12
Huntermouth,2019-02-05 08:10:57,28.58,3.14352E+11
Deanville,2019-02-17 15:51:49,25.33,2.74947E+12
North Barbara,2019-05-05 09:46:32,26.54,4.32828E+12
West Angela,2019-01-25 12:19:12,41.05,4.60241E+12
Martinezhaven,2019-04-15 09:17:59,35.45,4.82261E+12
West Anthony,2019-01-12 19:38:06,37.66,4.10252E+11
West Samuelburgh,2019-04-25 15:55:24,26.44,4.33865E+12
West Josephberg,2019-04-29 10:20:58,28.73,1.73253E+12
Liumouth,2019-04-11 13:52:28,15.55,6.82849E+12
Karenside,2019-04-04 14:32:35,42.27,6.7715E+12
Loganberg,2019-04-04 08:04:07,25.93,1.86096E+11
Johnton,2019-01-21 03:20:06,28.59,5.59754E+12
Carriemouth,2019-03-08 13:35:49,34.32,7.98492E+12
South Latoya,2019-01-02 00:44:03,43.72,3.90122E+11
South Phillip,2019-03-25 08:38:47,7.04,7.93164E+12
Lake Danielberg,2019-03-21 19:46:43,14.12,8.57368E+12
Jerryton,2019-01-27 05:35:02,5.21,2.36654E+12
Simpsonburgh,2019-04-28 10:54:14,10.07,2.9948E+12
Amandaburgh,2019-02-06 10:02:30,11.93,7.55033E+12
Karenberg,2019-02-14 14:40:41,11.06,4.34496E+12
Jerryton,2019-01-16 17:13:34,22.26,9.74453E+11
East Kaylahaven,2019-03-27 00:44:29,25.29,4.84074E+12
Pattyland,2019-02-11 20:25:42,33.21,1.32588E+12
South Michelleport,2019-02-06 17:29:41,25.58,6.81478E+12
Martinezhaven,2019-02-23 00:15:55,15.48,5.94682E+12
Loganberg,2019-01-05 14:35:09,5.92,5.3277E+12
New Paulville,2019-04-13 10:23:37,8.69,5.9222E+11
South Evanton,2019-01-10 02:57:54,37.03,4.81799E+12
Port Angela,2019-02-06 07:07:55,24.47,1.46982E+12
West Gabriel,2019-04-21 04:50:53,4.96,2.69414E+12
New Kimberlyborough,2019-03-28 12:48:55,10.91,9.35422E+11
West Anthony,2019-04-16 01:06:17,17.47,5.70656E+12
West Gabriel,2019-01-16 06:23:21,25.97,6.59048E+12
Karenside,2019-01-24 07:48:14,9.39,4.82906E+12
Liumouth,2019-01-01 00:08:16,37.91,5.67367E+12
Grahamburgh,2019-04-20 21:40:03,40.06,5.16183E+12
Christopherfurt,2019-05-07 17:27:48,6.39,7.60801E+12
West Gabriel,2019-05-01 02:18:03,27.45,2.82746E+12
West Heidi,2019-01-17 03:43:17,5.78,9.1077E+12
West Angela,2019-01-04 20:45:01,20.33,1.92034E+12
Christopherfurt,2019-03-25 17:11:15,7.19,6.89268E+12
Robertport,2019-03-25 18:55:34,35.29,7.87581E+12
Royland,2019-01-16 02:06:12,4.89,8.05334E+12
Huntermouth,2019-03-19 17:31:55,15.05,1.67708E+12
North Madeline,2019-04-07 06:50:30,11.92,7.37335E+11
East Kaylahaven,2019-01-07 20:29:02,5.56,4.65764E+12
Loganberg,2019-04-18 17:41:28,22.51,3.20804E+12
North Jason,2019-01-23 21:22:39,6.54,5.61476E+12
South Latoya,2019-01-31 23:20:52,14.82,6.96344E+12
Karenberg,2019-03-09 14:47:25,35.68,8.63175E+12
West Anthony,2019-05-01 17:43:35,23.76,2.92935E+12
Williamsstad,2019-03-25 16:07:22,42.93,2.21E+12
Port Angela,2019-02-06 16:11:31,11.39,6.10867E+12
Karenside,2019-02-24 05:39:00,27.64,8.05821E+12
East Kaylahaven,2019-03-21 22:54:03,9.42,1.46826E+12
South Michelleport,2019-03-23 16:45:56,14.72,4.90532E+11
Pattyland,2019-01-14 20:49:49,40.21,5.82597E+12
Port Samanthamouth,2019-02-28 20:01:26,38.42,2.10509E+12
Reynoldsfurt,2019-04-11 09:09:53,42.97,1.39065E+12
Pattyland,2019-03-27 06:49:10,8.57,3.07455E+12
North Jasmine,2019-04-24 08:05:51,14.11,4.19471E+12
North Madeline,2019-03-31 03:35:12,21.24,6.5416E+11
West Anthony,2019-02-11 05:48:29,15.55,5.98841E+12
Lake Danielberg,2019-01-28 15:49:50,25.98,1.41832E+12
Royland,2019-02-19 08:25:58,13.02,1.86047E+11
Reynoldsfurt,2019-03-08 07:06:54,6.08,2.56721E+12
Roberthaven,2019-02-09 00:25:20,11.71,8.18277E+12
South Evanton,2019-02-25 11:11:25,15.94,2.73432E+12
Grahamburgh,2019-03-04 22:51:36,34.93,5.941E+12
West Ericstad,2019-03-29 04:59:54,40.29,8.09503E+11
Port Frank,2019-02-17 13:21:47,32.44,5.38735E+12
Lake Danielberg,2019-02-08 05:26:40,22.74,9.52401E+12
Erikaland,2019-03-24 09:50:04,4.07,6.56168E+12
Port David,2019-02-11 11:59:08,38,7.7727E+12
North Barbara,2019-04-27 00:19:08,16.89,5.10412E+12
Simpsonburgh,2019-02-27 00:58:18,13.38,1.57792E+12
North Jason,2019-01-23 05:58:24,32.77,2.98876E+12
Simpsonburgh,2019-01-06 02:20:49,27.2,3.68183E+12
South Phillip,2019-04-18 01:17:47,35.7,4.75237E+12
South Karenland,2019-03-16 02:20:06,4.87,2.38792E+12
New Paulville,2019-03-14 21:25:25,20.26,8.81201E+12
Johnton,2019-02-14 18:21:43,43.93,5.44375E+12
Port Johnbury,2019-02-27 02:44:15,11.33,3.22578E+12
Joneschester,2019-03-12 21:52:41,21.17,1.57652E+12
West Samuelburgh,2019-02-12 18:45:21,6.76,8.53007E+12
Huntermouth,2019-04-28 17:26:52,31.43,6.66048E+12
Deanville,2019-04-01 00:11:48,22.65,7.00278E+12
Leahton,2019-02-15 17:00:16,25.84,9.2427E+12
Hurleymouth,2019-04-13 18:15:37,40.93,4.91521E+12
West Anthony,2019-03-21 01:28:48,15.64,4.74685E+12
Karenside,2019-01-23 23:30:37,37.62,1.95293E+12
West Gabriel,2019-02-28 12:03:41,31.82,4.15307E+12
Carriemouth,2019-03-26 10:39:21,26.91,7.85248E+12
South Michelleport,2019-03-01 22:01:02,24.55,9.78948E+12
Rodneyfort,2019-05-05 03:19:39,22.24,5.39329E+12
Deanville,2019-03-07 07:21:47,31.08,9.71126E+12
Reynoldsfurt,2019-05-04 12:38:38,8.81,3.23811E+12
Justinberg,2019-04-27 12:41:46,18.99,3.03461E+12
Huntermouth,2019-03-02 10:47:16,10.89,1.64727E+12
West Robert,2019-02-27 20:51:17,8.37,4.89897E+11
Port Angela,2019-02-14 13:00:19,42.04,8.96909E+11
South Karenland,2019-01-09 20:59:13,44.44,3.17995E+12
Port David,2019-03-24 16:37:10,25.65,2.08469E+12
Liumouth,2019-01-04 03:16:36,9.1,8.14768E+12
Simpsonburgh,2019-01-18 12:48:39,15.36,5.19567E+12
South Evanton,2019-04-14 20:12:04,19.53,8.34565E+12
West Heidi,2019-04-06 08:54:09,25.06,8.91601E+12
Port Frank,2019-01-14 09:19:05,43.27,4.91473E+11
East Kaylahaven,2019-02-23 00:41:22,15.94,1.60239E+12
North Madeline,2019-01-28 09:57:41,42.24,5.83417E+11
Liumouth,2019-04-14 21:17:20,38.95,14588103145
North Madeline,2019-03-06 19:26:01,26.34,1.88386E+12
Williamsview,2019-04-15 16:09:08,44.74,2.7594E+12
North Barbara,2019-03-16 10:22:13,25.06,9.74571E+12
South Evanton,2019-02-07 08:44:06,7.69,9.01261E+12
Williamsstad,2019-04-26 04:18:46,18.92,1.6064E+12
